File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL2_3.raw	129446	8976	1.18427e+10	1250690081417	198218306901	2.144	0.059	2.77068	0.460653	1.11987	1.03365	0.93177	0.0188125	13.934	2.526	0.238
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_CTRL_2.raw	189111	9894	1.00326e+11	8905356992669	1612250184903	2.482	0.068	0.947669	0.612426	1.50616	1.2205	1	0.01834	14.415	2.551	0.313
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_JNK-IN-8_cDDP_24h_2.raw	237876	9964	5.8189e+10	5467115564565	654174274497	2.297	0.063	2.37839	0.568292	1.25123	1.18724	1	0.0148042	14.465	2.592	0.338
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_c-jun_KO_cDDP_24h_2.raw	233145	9818	6.45633e+10	5986852914151	772220428254	2.306	0.063	2.2646	0.612193	1.24188	1.16375	1	0.01437	14.536	2.6	0.343
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_cDDP_06h_1.raw	160757	9740	6.50038e+10	6164627933233	965666258683	2.44	0.067	1.35298	0.604015	1.58868	1.11	0.989109	0.0182313	13.674	2.458	0.244
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_CTRL_JNK-IN-8_cDDP_24h_2.raw	199184	9809	5.18845e+10	4902804039173	633751170751	2.32	0.064	2.65203	0.605916	1.21504	1.14586	1	0.0165373	14.136	2.544	0.301
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_CTRL_cDDP_06h_1.raw	177928	9857	5.75877e+10	4626808171110	913699748977	2.396	0.066	1.62339	0.559327	1.3072	1.11791	0.993633	0.0175622	14.09	2.515	0.304
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_CTRL_JNK-IN-8_cDDP_24h_1.raw	193216	9732	3.64196e+10	3052306514026	475542437645	2.223	0.061	2.64825	0.564761	1.18792	1.15798	1	0.0160552	14.21	2.56	0.296
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_3.raw	194837	9919	1.08137e+11	9811284513197	1627537758711	2.509	0.069	2.17555	0.638307	1.6308	1.20771	1	0.0181563	14.355	2.548	0.316
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_c-jun_KO_1.raw	74421	7617	1.64949e+09	173417558454	44193580193	1.884	0.052	1.88301	0.328981	1.67863	1.43115	0.745375	0.0181072	14.07	2.538	0.224
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_CTRL_2.raw	202060	9887	8.26172e+10	7232313987592	1026843784351	2.365	0.065	0.909553	0.646509	1.20309	1.14916	1	0.0175371	14.126	2.534	0.29
