source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	characteristics[cellosaurus accession]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[sample preparation batch]	factor value[genotype]	factor value[treatment]	factor value[time point]
20260331_c-jun_KO_cDDP_24h1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h1_1	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h1_1.mzML	1	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO_cDDP_24h1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h1_2	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h1_2.mzML	2	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO_cDDP_24h1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h1_3	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h1_3.mzML	3	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO_cDDP_24h2	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	2	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h2_1	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h2_1.mzML	1	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO_cDDP_24h2	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	2	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h2_2	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h2_2.mzML	2	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO_cDDP_24h2	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	2	CVCL_0134	not available	Female	20260331_c-jun_KO_cDDP_24h2_3	proteomic profiling by mass spectrometry	20260331_c-jun_KO_cDDP_24h2_3.mzML	3	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	cisplatin	24 h
20260331_c-jun_KO1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO1_1	proteomic profiling by mass spectrometry	20260331_c-jun_KO1_1.mzML	1	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	none	0 h
20260331_c-jun_KO1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO1_2	proteomic profiling by mass spectrometry	20260331_c-jun_KO1_2.mzML	2	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	none	0 h
20260331_c-jun_KO1	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	1	CVCL_0134	not available	Female	20260331_c-jun_KO1_3	proteomic profiling by mass spectrometry	20260331_c-jun_KO1_3.mzML	3	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	none	0 h
20260331_c-jun_KO2	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	2	CVCL_0134	not available	Female	20260331_c-jun_KO2_1	proteomic profiling by mass spectrometry	20260331_c-jun_KO2_1.mzML	1	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	none	0 h
20260331_c-jun_KO2	Homo sapiens	cell culture	epithelial cell	A2780	ovarian cancer	c-jun knockout	2	CVCL_0134	not available	Female	20260331_c-jun_KO2_2	proteomic profiling by mass spectrometry	20260331_c-jun_KO2_2.mzML	2	Data-independent acquisition	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	label free sample	1	HCD	10 ppm	20 ppm	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetylation;TA=Protein N-term;MT=Variable;AC=UNIMOD:1	380	980	2	nDIA	Rabah_20260331	c-jun knockout	none	0 h
